play,dataline,actsceneline,actscene,act,scene,line,player,playerline,annotation,highlight,objectid
Romeo and Juliet,85282,,1.0,1,0,,StageDirection,ACT I,,,
Romeo and Juliet,85283,,1.0,1,0,,StageDirection,PROLOGUE,,,
Romeo and Juliet,85284,1.0.1,1.0,1,0,1,RICHMOND,"Two households, both alike in dignity,",This line is not working because it's first being searched for some reason; need to figure that out in the code,households,midsummer002
Romeo and Juliet,85285,1.0.2,1.0,1,0,2,RICHMOND,"In fair Verona, where we lay our scene,",does this line work? Let's see. Her'es a lot of text to see the overflow of everything the overflow being the overflow and the everything being [the endless nothing we all are](https://www.poetryfoundation.org/poems/45235/the-snow-man),where,midsummer0010
Romeo and Juliet,85286,1.0.3,1.0,1,0,3,RICHMOND,"From ancient grudge break to new mutiny,",,,
Romeo and Juliet,85287,1.0.4,1.0,1,0,4,RICHMOND,Where civil blood makes civil hands unclean.,,,
Romeo and Juliet,85288,1.0.5,1.0,1,0,5,RICHMOND,From forth the fatal loins of these two foes,,,
Romeo and Juliet,85289,1.0.6,1.0,1,0,6,RICHMOND,"A pair of star-cross'd lovers take their life,",,,
Romeo and Juliet,85290,1.0.7,1.0,1,0,7,RICHMOND,Whose misadventured piteous overthrows,,,
Romeo and Juliet,85291,1.0.8,1.0,1,0,8,RICHMOND,Do with their death bury their parents' strife.,,,
Romeo and Juliet,85292,1.0.9,1.0,1,0,9,RICHMOND,"The fearful passage of their death-mark'd love,",,,
Romeo and Juliet,85293,1.0.10,1.0,1,0,10,RICHMOND,"And the continuance of their parents' rage,",,,
Romeo and Juliet,85294,1.0.11,1.0,1,0,11,RICHMOND,"Which, but their children's end, nought could remove,",,,
Romeo and Juliet,85295,1.0.12,1.0,1,0,12,RICHMOND,"Is now the two hours' traffic of our stage,",,,
Romeo and Juliet,85296,1.0.13,1.0,1,0,13,RICHMOND,"The which if you with patient ears attend,",,,
Romeo and Juliet,85297,1.0.14,1.0,1,0,14,RICHMOND,"What here shall miss, our toil shall strive to mend.",,,
Romeo and Juliet,85298,,1.0,1,0,,StageDirection,SCENE I. Verona. A public place.,,,
Romeo and Juliet,85299,,1.1,1,1,,StageDirection,"Enter SAMPSON and GREGORY, of the house of Capulet, armed with swords and bucklers",,,
Romeo and Juliet,85300,1.1.1,1.1,1,1,1,SAMPSON,"Gregory, o' my word, we'll not carry coals.",,,
Romeo and Juliet,85301,1.1.2,1.1,1,1,2,GREGORY,"No, for then we should be colliers.",IS this line working? let's find out by writing a bunch of nonsense and then clicking on it and clicking on it,colliers,
Romeo and Juliet,85302,1.1.3,1.1,1,1,3,SAMPSON,"I mean, an we be in choler, we'll draw.",,,
Romeo and Juliet,85303,1.1.4,1.1,1,1,4,GREGORY,"Ay, while you live, draw your neck out o' the collar.",,,
Romeo and Juliet,85304,1.1.5,1.1,1,1,5,SAMPSON,"I strike quickly, being moved.",,,
Romeo and Juliet,85305,1.1.6,1.1,1,1,6,GREGORY,But thou art not quickly moved to strike.,,,
Romeo and Juliet,85306,1.1.7,1.1,1,1,7,SAMPSON,A dog of the house of Montague moves me.,,,
Romeo and Juliet,85307,1.1.8,1.1,1,1,8,GREGORY,"To move is to stir, and to be valiant is to stand:",,,
Romeo and Juliet,85308,1.1.9,1.1,1,1,9,GREGORY,"therefore, if thou art moved, thou runn'st away.",,,
Romeo and Juliet,85309,1.1.10,1.1,1,1,10,SAMPSON,A dog of that house shall move me to stand: I will,,,
Romeo and Juliet,85310,1.1.11,1.1,1,1,11,SAMPSON,take the wall of any man or maid of Montague's.,,,
Romeo and Juliet,85311,1.1.12,1.1,1,1,12,GREGORY,"That shows thee a weak slave, for the weakest goes",,,
Romeo and Juliet,85312,1.1.13,1.1,1,1,13,GREGORY,to the wall.,,,
Romeo and Juliet,85313,1.1.14,1.1,1,1,14,SAMPSON,"True, and therefore women, being the weaker vessels,",,,
Romeo and Juliet,85314,1.1.15,1.1,1,1,15,SAMPSON,are ever thrust to the wall: therefore I will push,,,
Romeo and Juliet,85315,1.1.16,1.1,1,1,16,SAMPSON,"Montague's men from the wall, and thrust his maids",,,
Romeo and Juliet,85316,1.1.17,1.1,1,1,17,SAMPSON,to the wall.,,,
Romeo and Juliet,85317,1.1.18,1.1,1,1,18,GREGORY,The quarrel is between our masters and us their men.,,,
Romeo and Juliet,85318,1.1.19,1.1,1,1,19,SAMPSON,"'Tis all one, I will show myself a tyrant: when I",,,
Romeo and Juliet,85319,1.1.20,1.1,1,1,20,SAMPSON,"have fought with the men, I will be cruel with the",,,
Romeo and Juliet,85320,1.1.21,1.1,1,1,21,SAMPSON,"maids, and cut off their heads.",,,
Romeo and Juliet,85321,1.1.22,1.1,1,1,22,GREGORY,The heads of the maids?,,,
Romeo and Juliet,85322,1.1.23,1.1,1,1,23,SAMPSON,"Ay, the heads of the maids, or their maidenheads,",,,
Romeo and Juliet,85323,1.1.24,1.1,1,1,24,SAMPSON,take it in what sense thou wilt.,,,
Romeo and Juliet,85324,1.1.25,1.1,1,1,25,GREGORY,They must take it in sense that feel it.,,,
Romeo and Juliet,85325,1.1.26,1.1,1,1,26,SAMPSON,Me they shall feel while I am able to stand: and,,,
Romeo and Juliet,85326,1.1.27,1.1,1,1,27,SAMPSON,'tis known I am a pretty piece of flesh.,,,
Romeo and Juliet,85327,1.1.28,1.1,1,1,28,GREGORY,"'Tis well thou art not fish, if thou hadst, thou",,,
Romeo and Juliet,85328,1.1.29,1.1,1,1,29,GREGORY,hadst been poor John. Draw thy tool! here comes,,,
Romeo and Juliet,85329,1.1.30,1.1,1,1,30,GREGORY,two of the house of the Montagues.,,,
Romeo and Juliet,85330,1.1.31,1.1,1,1,31,SAMPSON,"My naked weapon is out: quarrel, I will back thee.",,,
Romeo and Juliet,85331,1.1.32,1.1,1,1,32,GREGORY,How! turn thy back and run?,,,
Romeo and Juliet,85332,1.1.33,1.1,1,1,33,SAMPSON,Fear me not.,,,
Romeo and Juliet,85333,1.1.34,1.1,1,1,34,GREGORY,"No, marry, I fear thee!",,,
Romeo and Juliet,85334,1.1.35,1.1,1,1,35,SAMPSON,"Let us take the law of our sides, let them begin.",,,
Romeo and Juliet,85335,1.1.36,1.1,1,1,36,GREGORY,"I will frown as I pass by, and let them take it as",,,
Romeo and Juliet,85336,1.1.37,1.1,1,1,37,GREGORY,they list.,,,
Romeo and Juliet,85337,1.1.38,1.1,1,1,38,SAMPSON,"Nay, as they dare. I will bite my thumb at them,",,,
Romeo and Juliet,85338,1.1.39,1.1,1,1,39,SAMPSON,"which is a disgrace to them, if they bear it.",,,
Romeo and Juliet,85339,,1.1,1,1,,StageDirection,Enter ABRAHAM and BALTHASAR,,,
Romeo and Juliet,85340,1.1.40,1.1,1,1,40,ABRAHAM,"Do you bite your thumb at us, sir?",,,
Romeo and Juliet,85341,1.1.41,1.1,1,1,41,SAMPSON,"I do bite my thumb, sir.",,,
Romeo and Juliet,85342,1.1.42,1.1,1,1,42,ABRAHAM,"Do you bite your thumb at us, sir?",,,
Romeo and Juliet,85343,1.1.43,1.1,1,1,43,SAMPSON,"[Aside to GREGORY]  Is the law of our side, if I say",,,
Romeo and Juliet,85344,1.1.44,1.1,1,1,44,SAMPSON,ay?,,,
Romeo and Juliet,85345,1.1.45,1.1,1,1,45,GREGORY,No.,,,
Romeo and Juliet,85346,1.1.46,1.1,1,1,46,SAMPSON,"No, sir, I do not bite my thumb at you, sir, but I",,,
Romeo and Juliet,85347,1.1.47,1.1,1,1,47,SAMPSON,"bite my thumb, sir.",,,
Romeo and Juliet,85348,1.1.48,1.1,1,1,48,GREGORY,"Do you quarrel, sir?",,,
Romeo and Juliet,85349,1.1.49,1.1,1,1,49,ABRAHAM,"Quarrel sir! no, sir.",,,
Romeo and Juliet,85350,1.1.50,1.1,1,1,50,SAMPSON,"If you do, sir, I am for you: I serve as good a man as you.",,,
Romeo and Juliet,85351,1.1.51,1.1,1,1,51,ABRAHAM,No better.,,,
Romeo and Juliet,85352,1.1.52,1.1,1,1,52,SAMPSON,"Well, sir.",,,
Romeo and Juliet,85353,1.1.53,1.1,1,1,53,GREGORY,Say 'better:' here comes one of my master's kinsmen.,,,
Romeo and Juliet,85354,1.1.54,1.1,1,1,54,SAMPSON,"Yes, better, sir.",,,
Romeo and Juliet,85355,1.1.55,1.1,1,1,55,ABRAHAM,You lie.,,,
Romeo and Juliet,85356,1.1.56,1.1,1,1,56,SAMPSON,"Draw, if you be men. Gregory, remember thy swashing blow.",,,
Romeo and Juliet,85357,,1.1,1,1,,StageDirection,They fight,,,
Romeo and Juliet,85358,,1.1,1,1,,StageDirection,Enter BENVOLIO,,,
Romeo and Juliet,85359,1.1.57,1.1,1,1,57,BENVOLIO,"Part, fools!",,,
Romeo and Juliet,85360,1.1.58,1.1,1,1,58,BENVOLIO,"Put up your swords, you know not what you do.",,,
Romeo and Juliet,85361,,1.1,1,1,,StageDirection,Beats down their swords,,,
Romeo and Juliet,85362,,1.1,1,1,,StageDirection,Enter TYBALT,,,
Romeo and Juliet,85363,1.1.59,1.1,1,1,59,TYBALT,"What, art thou drawn among these heartless hinds?",,,
Romeo and Juliet,85364,1.1.60,1.1,1,1,60,TYBALT,"Turn thee, Benvolio, look upon thy death.",,,
Romeo and Juliet,85365,1.1.61,1.1,1,1,61,BENVOLIO,"I do but keep the peace: put up thy sword,",,,
Romeo and Juliet,85366,1.1.62,1.1,1,1,62,BENVOLIO,Or manage it to part these men with me.,,,
Romeo and Juliet,85367,1.1.63,1.1,1,1,63,TYBALT,"What, drawn, and talk of peace! I hate the word,",,,
Romeo and Juliet,85368,1.1.64,1.1,1,1,64,TYBALT,"As I hate hell, all Montagues, and thee:",,,
Romeo and Juliet,85369,1.1.65,1.1,1,1,65,TYBALT,"Have at thee, coward!",,,
Romeo and Juliet,85370,,1.1,1,1,,StageDirection,They fight,,,
Romeo and Juliet,85371,,1.1,1,1,,StageDirection,"Enter, several of both houses, who join the fray, then enter Citizens, with clubs",,,
Romeo and Juliet,85372,1.1.66,1.1,1,1,66,First Citizen,"Clubs, bills, and partisans! strike! beat them down!",,,
Romeo and Juliet,85373,1.1.67,1.1,1,1,67,First Citizen,Down with the Capulets! down with the Montagues!,,,
Romeo and Juliet,85374,,1.1,1,1,,StageDirection,"Enter CAPULET in his gown, and LADY CAPULET",,,
Romeo and Juliet,85375,1.1.68,1.1,1,1,68,CAPULET,"What noise is this? Give me my long sword, ho!",,,
Romeo and Juliet,85376,1.1.69,1.1,1,1,69,LADY CAPULET,"A crutch, a crutch! why call you for a sword?",,,
Romeo and Juliet,85377,1.1.70,1.1,1,1,70,CAPULET,"My sword, I say! Old Montague is come,",,,
Romeo and Juliet,85378,1.1.71,1.1,1,1,71,CAPULET,And flourishes his blade in spite of me.,,,
Romeo and Juliet,85379,,1.1,1,1,,StageDirection,Enter MONTAGUE and LADY MONTAGUE,,,
Romeo and Juliet,85380,1.1.72,1.1,1,1,72,MONTAGUE,"Thou villain Capulet,--Hold me not, let me go.",,,
Romeo and Juliet,85381,1.1.73,1.1,1,1,73,LADY MONTAGUE,Thou shalt not stir a foot to seek a foe.,,,
Romeo and Juliet,85382,,1.1,1,1,,StageDirection,"Enter PRINCE, with Attendants",,,
Romeo and Juliet,85383,1.1.74,1.1,1,1,74,PRINCE,"Rebellious subjects, enemies to peace,",,,
Romeo and Juliet,85384,1.1.75,1.1,1,1,75,PRINCE,"Profaners of this neighbour-stained steel,--",,,
Romeo and Juliet,85385,1.1.76,1.1,1,1,76,PRINCE,"Will they not hear? What, ho! you men, you beasts,",,,
Romeo and Juliet,85386,1.1.77,1.1,1,1,77,PRINCE,That quench the fire of your pernicious rage,,,
Romeo and Juliet,85387,1.1.78,1.1,1,1,78,PRINCE,"With purple fountains issuing from your veins,",,,
Romeo and Juliet,85388,1.1.79,1.1,1,1,79,PRINCE,"On pain of torture, from those bloody hands",,,
Romeo and Juliet,85389,1.1.80,1.1,1,1,80,PRINCE,"Throw your mistemper'd weapons to the ground,",,,
Romeo and Juliet,85390,1.1.81,1.1,1,1,81,PRINCE,And hear the sentence of your moved prince.,,,
Romeo and Juliet,85391,1.1.82,1.1,1,1,82,PRINCE,"Three civil brawls, bred of an airy word,",,,
Romeo and Juliet,85392,1.1.83,1.1,1,1,83,PRINCE,"By thee, old Capulet, and Montague,",,,
Romeo and Juliet,85393,1.1.84,1.1,1,1,84,PRINCE,"Have thrice disturb'd the quiet of our streets,",,,
Romeo and Juliet,85394,1.1.85,1.1,1,1,85,PRINCE,And made Verona's ancient citizens,,,
Romeo and Juliet,85395,1.1.86,1.1,1,1,86,PRINCE,"Cast by their grave beseeming ornaments,",,,
Romeo and Juliet,85396,1.1.87,1.1,1,1,87,PRINCE,"To wield old partisans, in hands as old,",,,
Romeo and Juliet,85397,1.1.88,1.1,1,1,88,PRINCE,"Canker'd with peace, to part your canker'd hate:",,,
Romeo and Juliet,85398,1.1.89,1.1,1,1,89,PRINCE,"If ever you disturb our streets again,",,,
Romeo and Juliet,85399,1.1.90,1.1,1,1,90,PRINCE,Your lives shall pay the forfeit of the peace.,,,
Romeo and Juliet,85400,1.1.91,1.1,1,1,91,PRINCE,"For this time, all the rest depart away:",,,
Romeo and Juliet,85401,1.1.92,1.1,1,1,92,PRINCE,"You Capulet, shall go along with me:",,,
Romeo and Juliet,85402,1.1.93,1.1,1,1,93,PRINCE,"And, Montague, come you this afternoon,",,,
Romeo and Juliet,85403,1.1.94,1.1,1,1,94,PRINCE,"To know our further pleasure in this case,",,,
Romeo and Juliet,85404,1.1.95,1.1,1,1,95,PRINCE,"To old Free-town, our common judgment-place.",,,
Romeo and Juliet,85405,1.1.96,1.1,1,1,96,PRINCE,"Once more, on pain of death, all men depart.",,,
Romeo and Juliet,85406,,1.1,1,1,,StageDirection,"Exeunt all but MONTAGUE, LADY MONTAGUE, and BENVOLIO",,,
Romeo and Juliet,85407,1.1.97,1.1,1,1,97,MONTAGUE,Who set this ancient quarrel new abroach?,,,
Romeo and Juliet,85408,1.1.98,1.1,1,1,98,MONTAGUE,"Speak, nephew, were you by when it began?",,,
Romeo and Juliet,85409,1.1.99,1.1,1,1,99,BENVOLIO,"Here were the servants of your adversary,",,,
Romeo and Juliet,85410,1.1.100,1.1,1,1,100,BENVOLIO,"And yours, close fighting ere I did approach:",,,
Romeo and Juliet,85411,1.1.101,1.1,1,1,101,BENVOLIO,I drew to part them: in the instant came,,,
Romeo and Juliet,85412,1.1.102,1.1,1,1,102,BENVOLIO,"The fiery Tybalt, with his sword prepared,",,,
Romeo and Juliet,85413,1.1.103,1.1,1,1,103,BENVOLIO,"Which, as he breathed defiance to my ears,",,,
Romeo and Juliet,85414,1.1.104,1.1,1,1,104,BENVOLIO,"He swung about his head and cut the winds,",,,
Romeo and Juliet,85415,1.1.105,1.1,1,1,105,BENVOLIO,Who nothing hurt withal hiss'd him in scorn:,,,
Romeo and Juliet,85416,1.1.106,1.1,1,1,106,BENVOLIO,"While we were interchanging thrusts and blows,",,,
Romeo and Juliet,85417,1.1.107,1.1,1,1,107,BENVOLIO,"Came more and more and fought on part and part,",,,
Romeo and Juliet,85418,1.1.108,1.1,1,1,108,BENVOLIO,"Till the prince came, who parted either part.",,,
Romeo and Juliet,85419,1.1.109,1.1,1,1,109,LADY MONTAGUE,"O, where is Romeo? saw you him to-day?",,,
Romeo and Juliet,85420,1.1.110,1.1,1,1,110,LADY MONTAGUE,Right glad I am he was not at this fray.,,,
Romeo and Juliet,85421,1.1.111,1.1,1,1,111,BENVOLIO,"Madam, an hour before the worshipp'd sun",,,
Romeo and Juliet,85422,1.1.112,1.1,1,1,112,BENVOLIO,"Peer'd forth the golden window of the east,",,,
Romeo and Juliet,85423,1.1.113,1.1,1,1,113,BENVOLIO,"A troubled mind drave me to walk abroad,",,,
Romeo and Juliet,85424,1.1.114,1.1,1,1,114,BENVOLIO,"Where, underneath the grove of sycamore",,,
Romeo and Juliet,85425,1.1.115,1.1,1,1,115,BENVOLIO,"That westward rooteth from the city's side,",,,
Romeo and Juliet,85426,1.1.116,1.1,1,1,116,BENVOLIO,So early walking did I see your son:,,,
Romeo and Juliet,85427,1.1.117,1.1,1,1,117,BENVOLIO,"Towards him I made, but he was ware of me",,,
Romeo and Juliet,85428,1.1.118,1.1,1,1,118,BENVOLIO,And stole into the covert of the wood:,,,
Romeo and Juliet,85429,1.1.119,1.1,1,1,119,BENVOLIO,"I, measuring his affections by my own,",,,
Romeo and Juliet,85430,1.1.120,1.1,1,1,120,BENVOLIO,"That most are busied when they're most alone,",,,
Romeo and Juliet,85431,1.1.121,1.1,1,1,121,BENVOLIO,"Pursued my humour not pursuing his,",,,
Romeo and Juliet,85432,1.1.122,1.1,1,1,122,BENVOLIO,And gladly shunn'd who gladly fled from me.,,,
Romeo and Juliet,85433,1.1.123,1.1,1,1,123,MONTAGUE,"Many a morning hath he there been seen,",,,
Romeo and Juliet,85434,1.1.124,1.1,1,1,124,MONTAGUE,With tears augmenting the fresh morning dew.,,,
Romeo and Juliet,85435,1.1.125,1.1,1,1,125,MONTAGUE,"Adding to clouds more clouds with his deep sighs,",,,
Romeo and Juliet,85436,1.1.126,1.1,1,1,126,MONTAGUE,But all so soon as the all-cheering sun,,,
Romeo and Juliet,85437,1.1.127,1.1,1,1,127,MONTAGUE,Should in the furthest east begin to draw,,,
Romeo and Juliet,85438,1.1.128,1.1,1,1,128,MONTAGUE,"The shady curtains from Aurora's bed,",,,
Romeo and Juliet,85439,1.1.129,1.1,1,1,129,MONTAGUE,"Away from the light steals home my heavy son,",,,
Romeo and Juliet,85440,1.1.130,1.1,1,1,130,MONTAGUE,"And private in his chamber pens himself,",,,
Romeo and Juliet,85441,1.1.131,1.1,1,1,131,MONTAGUE,"Shuts up his windows, locks far daylight out",,,
Romeo and Juliet,85442,1.1.132,1.1,1,1,132,MONTAGUE,And makes himself an artificial night:,,,
Romeo and Juliet,85443,1.1.133,1.1,1,1,133,MONTAGUE,"Black and portentous must this humour prove,",,,
Romeo and Juliet,85444,1.1.134,1.1,1,1,134,MONTAGUE,Unless good counsel may the cause remove.,,,
Romeo and Juliet,85445,1.1.135,1.1,1,1,135,BENVOLIO,"My noble uncle, do you know the cause?",,,
Romeo and Juliet,85446,1.1.136,1.1,1,1,136,MONTAGUE,I neither know it nor can learn of him.,,,
Romeo and Juliet,85447,1.1.137,1.1,1,1,137,BENVOLIO,Have you importuned him by any means?,,,
Romeo and Juliet,85448,1.1.138,1.1,1,1,138,MONTAGUE,Both by myself and many other friends:,,,
Romeo and Juliet,85449,1.1.139,1.1,1,1,139,MONTAGUE,"But he, his own affections' counsellor,",,,
Romeo and Juliet,85450,1.1.140,1.1,1,1,140,MONTAGUE,Is to himself--I will not say how true--,,,
Romeo and Juliet,85451,1.1.141,1.1,1,1,141,MONTAGUE,"But to himself so secret and so close,",,,
Romeo and Juliet,85452,1.1.142,1.1,1,1,142,MONTAGUE,"So far from sounding and discovery,",,,
Romeo and Juliet,85453,1.1.143,1.1,1,1,143,MONTAGUE,"As is the bud bit with an envious worm,",,,
Romeo and Juliet,85454,1.1.144,1.1,1,1,144,MONTAGUE,"Ere he can spread his sweet leaves to the air,",,,
Romeo and Juliet,85455,1.1.145,1.1,1,1,145,MONTAGUE,Or dedicate his beauty to the sun.,,,
Romeo and Juliet,85456,1.1.146,1.1,1,1,146,MONTAGUE,Could we but learn from whence his sorrows grow.,,,
Romeo and Juliet,85457,1.1.147,1.1,1,1,147,MONTAGUE,We would as willingly give cure as know.,,,
Romeo and Juliet,85458,,1.1,1,1,,StageDirection,Enter ROMEO,,,
Romeo and Juliet,85459,1.1.148,1.1,1,1,148,BENVOLIO,"See, where he comes: so please you, step aside,",,,
Romeo and Juliet,85460,1.1.149,1.1,1,1,149,BENVOLIO,"I'll know his grievance, or be much denied.",,,
Romeo and Juliet,85461,1.1.150,1.1,1,1,150,MONTAGUE,"I would thou wert so happy by thy stay,",,,
Romeo and Juliet,85462,1.1.151,1.1,1,1,151,MONTAGUE,"To hear true shrift. Come, madam, let's away.",,,
Romeo and Juliet,85463,,1.1,1,1,,StageDirection,Exeunt MONTAGUE and LADY MONTAGUE,,,
Romeo and Juliet,85464,1.1.152,1.1,1,1,152,BENVOLIO,"Good-morrow, cousin.",,,
Romeo and Juliet,85465,1.1.153,1.1,1,1,153,ROMEO,Is the day so young?,,,
Romeo and Juliet,85466,1.1.154,1.1,1,1,154,BENVOLIO,But new struck nine.,,,
Romeo and Juliet,85467,1.1.155,1.1,1,1,155,ROMEO,Ay me! sad hours seem long.,,,
Romeo and Juliet,85468,1.1.156,1.1,1,1,156,ROMEO,Was that my father that went hence so fast?,,,
Romeo and Juliet,85469,1.1.157,1.1,1,1,157,BENVOLIO,It was. What sadness lengthens Romeo's hours?,,,
Romeo and Juliet,85470,1.1.158,1.1,1,1,158,ROMEO,"Not having that, which, having, makes them short.",,,
Romeo and Juliet,85471,1.1.159,1.1,1,1,159,BENVOLIO,In love?,,,
Romeo and Juliet,85472,1.1.160,1.1,1,1,160,ROMEO,Out--,,,
Romeo and Juliet,85473,1.1.161,1.1,1,1,161,BENVOLIO,Of love?,,,
Romeo and Juliet,85474,1.1.162,1.1,1,1,162,ROMEO,"Out of her favour, where I am in love.",,,
Romeo and Juliet,85475,1.1.163,1.1,1,1,163,BENVOLIO,"Alas, that love, so gentle in his view,",,,
Romeo and Juliet,85476,1.1.164,1.1,1,1,164,BENVOLIO,Should be so tyrannous and rough in proof!,,,
Romeo and Juliet,85477,1.1.165,1.1,1,1,165,ROMEO,"Alas, that love, whose view is muffled still,",,,
Romeo and Juliet,85478,1.1.166,1.1,1,1,166,ROMEO,"Should, without eyes, see pathways to his will!",,,
Romeo and Juliet,85479,1.1.167,1.1,1,1,167,ROMEO,Where shall we dine? O me! What fray was here?,,,
Romeo and Juliet,85480,1.1.168,1.1,1,1,168,ROMEO,"Yet tell me not, for I have heard it all.",,,
Romeo and Juliet,85481,1.1.169,1.1,1,1,169,ROMEO,"Here's much to do with hate, but more with love.",,,
Romeo and Juliet,85482,1.1.170,1.1,1,1,170,ROMEO,"Why, then, O brawling love! O loving hate!",,,
Romeo and Juliet,85483,1.1.171,1.1,1,1,171,ROMEO,"O any thing, of nothing first create!",,,
Romeo and Juliet,85484,1.1.172,1.1,1,1,172,ROMEO,O heavy lightness! serious vanity!,,,
Romeo and Juliet,85485,1.1.173,1.1,1,1,173,ROMEO,Mis-shapen chaos of well-seeming forms!,,,
Romeo and Juliet,85486,1.1.174,1.1,1,1,174,ROMEO,"Feather of lead, bright smoke, cold fire,",,,
Romeo and Juliet,85487,1.1.175,1.1,1,1,175,ROMEO,sick health!,,,
Romeo and Juliet,85488,1.1.176,1.1,1,1,176,ROMEO,"Still-waking sleep, that is not what it is!",,,
Romeo and Juliet,85489,1.1.177,1.1,1,1,177,ROMEO,"This love feel I, that feel no love in this.",,,
Romeo and Juliet,85490,1.1.178,1.1,1,1,178,ROMEO,Dost thou not laugh?,,,
Romeo and Juliet,85491,1.1.179,1.1,1,1,179,BENVOLIO,"No, coz, I rather weep.",,,
Romeo and Juliet,85492,1.1.180,1.1,1,1,180,ROMEO,"Good heart, at what?",,,
Romeo and Juliet,85493,1.1.181,1.1,1,1,181,BENVOLIO,At thy good heart's oppression.,,,
Romeo and Juliet,85494,1.1.182,1.1,1,1,182,ROMEO,"Why, such is love's transgression.",,,
Romeo and Juliet,85495,1.1.183,1.1,1,1,183,ROMEO,"Griefs of mine own lie heavy in my breast,",,,
Romeo and Juliet,85496,1.1.184,1.1,1,1,184,ROMEO,"Which thou wilt propagate, to have it prest",,,
Romeo and Juliet,85497,1.1.185,1.1,1,1,185,ROMEO,With more of thine: this love that thou hast shown,,,
Romeo and Juliet,85498,1.1.186,1.1,1,1,186,ROMEO,Doth add more grief to too much of mine own.,,,
Romeo and Juliet,85499,1.1.187,1.1,1,1,187,ROMEO,"Love is a smoke raised with the fume of sighs,",,,
Romeo and Juliet,85500,1.1.188,1.1,1,1,188,ROMEO,"Being purged, a fire sparkling in lovers' eyes,",,,
Romeo and Juliet,85501,1.1.189,1.1,1,1,189,ROMEO,Being vex'd a sea nourish'd with lovers' tears:,,,
Romeo and Juliet,85502,1.1.190,1.1,1,1,190,ROMEO,"What is it else? a madness most discreet,",,,
Romeo and Juliet,85503,1.1.191,1.1,1,1,191,ROMEO,A choking gall and a preserving sweet.,,,
Romeo and Juliet,85504,1.1.192,1.1,1,1,192,ROMEO,"Farewell, my coz.",,,
Romeo and Juliet,85505,1.1.193,1.1,1,1,193,BENVOLIO,"Soft! I will go along,",,,
Romeo and Juliet,85506,1.1.194,1.1,1,1,194,BENVOLIO,"An if you leave me so, you do me wrong.",,,
Romeo and Juliet,85507,1.1.195,1.1,1,1,195,ROMEO,"Tut, I have lost myself, I am not here,",,,
Romeo and Juliet,85508,1.1.196,1.1,1,1,196,ROMEO,"This is not Romeo, he's some other where.",,,
Romeo and Juliet,85509,1.1.197,1.1,1,1,197,BENVOLIO,"Tell me in sadness, who is that you love.",,,
Romeo and Juliet,85510,1.1.198,1.1,1,1,198,ROMEO,"What, shall I groan and tell thee?",,,
Romeo and Juliet,85511,1.1.199,1.1,1,1,199,BENVOLIO,"Groan! why, no.",,,
Romeo and Juliet,85512,1.1.200,1.1,1,1,200,BENVOLIO,But sadly tell me who.,,,
Romeo and Juliet,85513,1.1.201,1.1,1,1,201,ROMEO,Bid a sick man in sadness make his will:,,,
Romeo and Juliet,85514,1.1.202,1.1,1,1,202,ROMEO,"Ah, word ill urged to one that is so ill!",,,
Romeo and Juliet,85515,1.1.203,1.1,1,1,203,ROMEO,"In sadness, cousin, I do love a woman.",,,
Romeo and Juliet,85516,1.1.204,1.1,1,1,204,BENVOLIO,"I aim'd so near, when I supposed you loved.",,,
Romeo and Juliet,85517,1.1.205,1.1,1,1,205,ROMEO,A right good mark-man! And she's fair I love.,,,
Romeo and Juliet,85518,1.1.206,1.1,1,1,206,BENVOLIO,"A right fair mark, fair coz, is soonest hit.",,,
Romeo and Juliet,85519,1.1.207,1.1,1,1,207,ROMEO,"Well, in that hit you miss: she'll not be hit",,,
Romeo and Juliet,85520,1.1.208,1.1,1,1,208,ROMEO,"With Cupid's arrow, she hath Dian's wit,",,,
Romeo and Juliet,85521,1.1.209,1.1,1,1,209,ROMEO,"And, in strong proof of chastity well arm'd,",,,
Romeo and Juliet,85522,1.1.210,1.1,1,1,210,ROMEO,From love's weak childish bow she lives unharm'd.,,,
Romeo and Juliet,85523,1.1.211,1.1,1,1,211,ROMEO,"She will not stay the siege of loving terms,",,,
Romeo and Juliet,85524,1.1.212,1.1,1,1,212,ROMEO,"Nor bide the encounter of assailing eyes,",,,
Romeo and Juliet,85525,1.1.213,1.1,1,1,213,ROMEO,Nor ope her lap to saint-seducing gold:,,,
Romeo and Juliet,85526,1.1.214,1.1,1,1,214,ROMEO,"O, she is rich in beauty, only poor,",,,
Romeo and Juliet,85527,1.1.215,1.1,1,1,215,ROMEO,That when she dies with beauty dies her store.,,,
Romeo and Juliet,85528,1.1.216,1.1,1,1,216,BENVOLIO,Then she hath sworn that she will still live chaste?,,,
Romeo and Juliet,85529,1.1.217,1.1,1,1,217,ROMEO,"She hath, and in that sparing makes huge waste,",,,
Romeo and Juliet,85530,1.1.218,1.1,1,1,218,ROMEO,For beauty starved with her severity,,,
Romeo and Juliet,85531,1.1.219,1.1,1,1,219,ROMEO,Cuts beauty off from all posterity.,,,
Romeo and Juliet,85532,1.1.220,1.1,1,1,220,ROMEO,"She is too fair, too wise, wisely too fair,",,,
Romeo and Juliet,85533,1.1.221,1.1,1,1,221,ROMEO,To merit bliss by making me despair:,,,
Romeo and Juliet,85534,1.1.222,1.1,1,1,222,ROMEO,"She hath forsworn to love, and in that vow",,,
